,,,,,,,,,,,,
Month,Day,Hour,SITE CONSUMPTION Grid supply (kWh),SITE CONSUMPTION Natural Gas (kWh),ONSITE SOLAR SYSTEM PRODUCTION (kWh),GRID (EEX) Price (€/MWh),NG (TTF) Price (€/MWh),Demand,PV generation,Energy not covered,Cost of NG,cost of Grid
1,1,16,264.3,52.9,35.9,25.6,12.8,317.1,35.9,281.2,0.67589865,6.7589865
1,1,17,229.3,45.9,0.6,32.2,16.1,275.1,0.6,274.5,0.738666425,7.38666425
1,1,18,278.3,55.7,0.0,25.6,12.8,333.9,0.0,333.9,0.7136556,7.136556
1,1,19,288.8,57.8,0.0,38.5,19.2,346.5,0.0,346.5,1.110676875,11.10676875
1,1,20,231.0,46.2,0.0,32.1,16.0,277.2,0.0,277.2,0.7410711,7.410711
1,1,21,301.0,60.2,0.0,25.6,12.8,361.2,0.0,361.2,0.7705299,7.705299
1,1,22,304.5,60.9,0.0,32.2,16.1,365.4,0.0,365.4,0.9796374,9.796374
1,1,23,271.3,54.3,0.0,24.5,12.3,325.5,0.0,325.5,0.6645625,6.645625
1,1,24,269.5,53.9,0.0,48.9,24.5,323.4,0.0,323.4,1.3190408,13.190408
1,2,1,227.5,45.5,0.0,41.4,20.7,273.0,0.0,273.0,0.9418045,9.418045
1,2,2,287.0,57.4,0.0,37.1,18.5,344.4,0.0,344.4,1.0633637,10.633637
1,2,3,323.8,64.8,0.0,29.8,14.9,388.5,0.0,388.5,0.965195875,9.65195875
1,2,4,243.3,48.7,0.0,35.1,17.5,291.9,0.0,291.9,0.8527372,8.527372
1,2,5,299.3,59.9,0.0,48.8,24.4,359.1,0.0,359.1,1.4604597,14.604597
1,2,6,234.5,46.9,0.0,73.6,36.8,281.4,0.0,281.4,1.7248882,17.248882
1,2,7,325.5,65.1,0.0,98.4,49.2,390.6,0.0,390.6,3.2044824,32.044824
1,2,8,248.5,49.7,0.0,106.3,53.2,298.2,0.0,298.2,2.64212655,26.4212655
1,2,9,304.5,60.9,0.0,111.2,55.6,365.4,0.0,365.4,3.3856746,33.856746
1,2,10,288.8,57.8,19.4,101.9,51.0,346.5,19.4,327.1,2.943142125,29.43142125
1,2,11,295.8,59.2,65.9,100.3,50.2,354.9,65.9,289.0,2.967703375,29.67703375
1,2,12,196.0,39.2,93.6,101.1,50.5,235.2,93.6,141.6,1.9808936,19.808936
1,2,13,316.8,63.4,104.2,100.6,50.3,380.1,104.2,275.9,3.1875186,31.875186
1,2,14,245.0,49.0,131.3,103.7,51.9,294.0,131.3,162.7,2.54163,25.4163
1,2,15,332.5,66.5,80.6,108.7,54.4,399.0,80.6,318.4,3.6155385,36.155385
1,2,16,295.8,59.2,42.4,114.3,57.2,354.9,42.4,312.5,3.38071825,33.8071825
1,2,17,245.0,49.0,7.7,123.1,61.5,294.0,7.7,286.3,3.0151415,30.151415
1,2,18,299.3,59.9,0.0,122.3,61.2,359.1,0.0,359.1,3.66036615,36.6036615
1,2,19,271.3,54.3,0.0,116.5,58.3,325.5,0.0,325.5,3.160469375,31.60469375
1,2,20,267.8,53.6,0.0,107.1,53.6,321.3,0.0,321.3,2.8676025,28.676025
1,2,21,327.3,65.5,0.0,99.2,49.6,392.7,0.0,392.7,3.245305525,32.45305525
1,2,22,323.8,64.8,0.0,94.4,47.2,388.5,0.0,388.5,3.057397875,30.57397875
1,2,23,245.0,49.0,0.0,87.0,43.5,294.0,0.0,294.0,2.130373,21.30373
1,2,24,250.3,50.1,0.0,91.0,45.5,300.3,0.0,300.3,2.277450175,22.77450175
1,3,1,246.8,49.4,0.0,84.0,42.0,296.1,0.0,296.1,2.0727,20.727
1,3,2,276.5,55.3,0.0,83.1,41.6,331.8,0.0,331.8,2.2985998,22.985998
1,3,3,316.8,63.4,0.0,80.5,40.3,380.1,0.0,380.1,2.5498375,25.498375
1,3,4,215.3,43.1,0.0,79.5,39.8,258.3,0.0,258.3,1.712120025,17.12120025
1,3,5,262.5,52.5,0.0,81.4,40.7,315.0,0.0,315.0,2.13646125,21.3646125
1,3,6,336.0,67.2,0.0,97.2,48.6,403.2,0.0,403.2,3.2673984,32.673984
1,3,7,505.8,101.2,0.0,111.9,56.0,606.9,0.0,606.9,5.6615678,56.615678
1,3,8,455.0,91.0,0.0,118.4,59.2,546.0,0.0,546.0,5.3880645,53.880645
1,3,9,605.5,121.1,0.0,119.8,59.9,726.6,0.0,726.6,7.2554643,72.554643
1,3,10,521.5,104.3,5.3,118.0,59.0,625.8,5.3,620.5,6.15364785,61.5364785
1,3,11,649.3,129.9,30.0,118.6,59.3,779.1,30.0,749.1,7.702896775,77.02896775
1,3,12,542.5,108.5,79.5,115.2,57.6,651.0,79.5,571.5,6.2468875,62.468875
1,3,13,490.0,98.0,77.7,112.6,56.3,588.0,77.7,510.3,5.519213,55.19213
1,3,14,525.0,105.0,41.8,114.1,57.1,630.0,41.8,588.2,5.992455,59.92455
1,3,15,530.3,106.1,34.7,116.6,58.3,636.3,34.7,601.6,6.1852602,61.852602
1,3,16,535.5,107.1,25.9,116.6,58.3,642.6,25.9,616.7,6.2465004,62.465004
1,3,17,404.3,80.9,0.0,119.7,59.8,485.1,0.0,485.1,4.837457625,48.37457625
1,3,18,374.5,74.9,0.0,118.3,59.1,449.4,0.0,449.4,4.42954855,44.2954855
1,3,19,435.8,87.2,0.0,112.7,56.3,522.9,0.0,522.9,4.910597475,49.10597475
1,3,20,323.8,64.8,0.0,104.7,52.4,388.5,0.0,388.5,3.39076325,33.9076325
1,3,21,358.8,71.8,0.0,91.7,45.9,430.5,0.0,430.5,3.290742,32.90742
1,3,22,378.0,75.6,0.0,80.3,40.1,453.6,0.0,453.6,3.0346974,30.346974
1,3,23,325.5,65.1,0.0,65.6,32.8,390.6,0.0,390.6,2.1363216,21.363216
1,3,24,369.3,73.9,0.0,56.1,28.1,443.1,0.0,443.1,2.072194075,20.72194075
1,4,1,330.8,66.2,0.0,48.5,24.3,396.9,0.0,396.9,1.6049313,16.049313
1,4,2,344.8,69.0,0.0,27.7,13.9,413.7,0.0,413.7,0.95516435,9.5516435
1,4,3,330.8,66.2,0.0,1.8,0.9,396.9,0.0,396.9,0.06065955,0.6065955
1,4,4,350.0,70.0,0.0,0.6,0.3,420.0,0.0,420.0,0.020825,0.20825
1,4,5,572.3,114.5,0.0,7.7,3.9,686.7,0.0,686.7,0.44143365,4.4143365
1,4,6,815.5,163.1,0.0,42.7,21.4,978.6,0.0,978.6,3.48389755,34.8389755
1,4,7,1071.0,214.2,0.0,66.2,33.1,1285.2,0.0,1285.2,7.092162,70.92162
1,4,8,1477.0,295.4,0.0,93.9,47.0,1772.4,0.0,1772.4,13.8708024,138.708024
1,4,9,1527.8,305.6,0.0,90.7,45.4,1833.3,0.0,1833.3,13.8640257,138.640257
1,4,10,1632.8,326.6,8.8,84.5,42.2,1959.3,8.8,1950.5,13.79510475,137.9510475
1,4,11,1536.5,307.3,35.9,70.2,35.1,1843.8,35.9,1807.9,10.7813132,107.813132
1,4,12,1487.5,297.5,63.6,73.5,36.8,1785.0,63.6,1721.4,10.93624875,109.3624875
1,4,13,1296.8,259.4,72.4,74.2,37.1,1556.1,72.4,1483.7,9.621885,96.21885
1,4,14,1386.0,277.2,68.3,73.5,36.8,1663.2,68.3,1594.9,10.1938914,101.938914
1,4,15,1398.3,279.7,29.4,72.7,36.4,1677.9,29.4,1648.5,10.16947225,101.6947225
1,4,16,1037.8,207.6,7.1,75.6,37.8,1245.3,7.1,1238.2,7.84393715,78.4393715
1,4,17,791.0,158.2,0.0,85.6,42.8,949.2,0.0,949.2,6.7745195,67.745195
1,4,18,948.5,189.7,0.0,98.0,49.0,1138.2,0.0,1138.2,9.29065235,92.9065235
1,4,19,985.3,197.1,0.0,90.6,45.3,1182.3,0.0,1182.3,8.930601575,89.30601575
1,4,20,861.0,172.2,0.0,74.1,37.1,1033.2,0.0,1033.2,6.3819903,63.819903
1,4,21,950.3,190.1,0.0,63.4,31.7,1140.3,0.0,1140.3,6.027150675,60.27150675
1,4,22,890.8,178.2,0.0,61.5,30.8,1068.9,0.0,1068.9,5.4820318,54.820318
1,4,23,892.5,178.5,0.0,54.7,27.4,1071.0,0.0,1071.0,4.88492025,48.8492025
1,4,24,806.8,161.4,0.0,24.3,12.2,968.1,0.0,968.1,1.96411355,19.6411355
1,5,1,733.3,146.7,0.0,22.0,11.0,879.9,0.0,879.9,1.61271005,16.1271005
1,5,2,691.3,138.3,0.0,23.2,11.6,829.5,0.0,829.5,1.60162625,16.0162625
1,5,3,728.0,145.6,0.0,10.2,5.1,873.6,0.0,873.6,0.7419776,7.419776
1,5,4,670.3,134.1,0.0,15.5,7.8,804.3,0.0,804.3,1.041099325,10.41099325
1,5,5,1027.3,205.5,0.0,28.8,14.4,1232.7,0.0,1232.7,2.962589,29.62589
1,5,6,1246.0,249.2,0.0,55.0,27.5,1495.2,0.0,1495.2,6.8493866,68.493866
1,5,7,1289.8,258.0,0.0,89.6,44.8,1547.7,0.0,1547.7,11.55435435,115.5435435
1,5,8,1515.5,303.1,0.0,98.7,49.4,1818.6,0.0,1818.6,14.9601067,149.601067
1,5,9,1508.5,301.7,0.0,103.0,51.5,1810.2,0.0,1810.2,15.5414721,155.414721
1,5,10,1456.0,291.2,10.0,104.9,52.4,1747.2,10.0,1737.2,15.2686352,152.686352
1,5,11,1491.0,298.2,22.4,103.2,51.6,1789.2,22.4,1766.8,15.3904002,153.904002
1,5,12,1433.3,286.7,50.6,100.2,50.1,1719.9,50.6,1669.3,14.36388818,143.6388818
1,5,13,1312.5,262.5,68.3,100.7,50.3,1575.0,68.3,1506.7,13.21070625,132.1070625
1,5,14,1429.8,286.0,66.5,105.7,52.9,1715.7,66.5,1649.2,15.11545998,151.1545998
1,5,15,1265.3,253.1,23.5,111.6,55.8,1518.3,23.5,1494.8,14.1247449,141.247449
1,5,16,1111.3,222.3,8.8,120.9,60.5,1333.5,8.8,1324.7,13.43623488,134.3623488
1,5,17,890.8,178.2,0.0,127.6,63.8,1068.9,0.0,1068.9,11.36935485,113.6935485
1,5,18,894.3,178.9,0.0,136.3,68.1,1073.1,0.0,1073.1,12.18585533,121.8585533
1,5,19,915.3,183.1,0.0,124.6,62.3,1098.3,0.0,1098.3,11.40273365,114.0273365
1,5,20,784.0,156.8,0.0,114.8,57.4,940.8,0.0,940.8,8.9997712,89.997712
1,5,21,838.3,167.7,0.0,106.4,53.2,1005.9,0.0,1005.9,8.91898,89.1898
1,5,22,857.5,171.5,0.0,101.2,50.6,1029.0,0.0,1029.0,8.682016,86.82016
1,5,23,794.5,158.9,0.0,88.9,44.5,953.4,0.0,953.4,7.063105,70.63105
1,5,24,754.3,150.9,0.0,75.0,37.5,905.1,0.0,905.1,5.660419975,56.60419975
1,6,1,717.5,143.5,0.0,70.8,35.4,861.0,0.0,861.0,5.0777475,50.777475
1,6,2,700.0,140.0,0.0,67.7,33.9,840.0,0.0,840.0,4.73977,47.3977
1,6,3,708.8,141.8,0.0,57.0,28.5,850.5,0.0,850.5,4.036969125,40.36969125
1,6,4,714.0,142.8,0.0,52.9,26.5,856.8,0.0,856.8,3.7804872,37.804872
1,6,5,941.5,188.3,0.0,56.0,28.0,1129.8,0.0,1129.8,5.2763543,52.763543
1,6,6,1079.8,216.0,0.0,68.1,34.0,1295.7,0.0,1295.7,7.350398125,73.50398125
1,6,7,1379.0,275.8,0.0,75.0,37.5,1654.8,0.0,1654.8,10.3393283,103.393283
1,6,8,1550.5,310.1,0.0,86.1,43.0,1860.6,0.0,1860.6,13.3432929,133.432929
1,6,9,1624.0,324.8,0.0,106.9,53.5,1948.8,0.0,1948.8,17.3668936,173.668936
1,6,10,1613.5,322.7,4.7,110.9,55.4,1936.2,4.7,1931.5,17.88935855,178.8935855
1,6,11,1704.5,340.9,27.1,100.9,50.5,2045.4,27.1,2018.3,17.2028367,172.028367
1,6,12,1582.0,316.4,76.5,88.8,44.4,1898.4,76.5,1821.9,14.0517986,140.517986
1,6,13,1589.0,317.8,124.8,84.0,42.0,1906.8,124.8,1782.0,13.3531615,133.531615
1,6,14,1508.5,301.7,121.3,94.4,47.2,1810.2,121.3,1688.9,14.2384298,142.384298
1,6,15,1442.0,288.4,91.8,100.8,50.4,1730.4,91.8,1638.6,14.5393976,145.393976
1,6,16,1170.8,234.2,42.4,98.1,49.0,1404.9,42.4,1362.5,11.4831843,114.831843
1,6,17,843.5,168.7,6.5,109.2,54.6,1012.2,6.5,1005.7,9.20688685,92.0688685
1,6,18,829.5,165.9,0.0,114.5,57.2,995.4,0.0,995.4,9.4936275,94.936275
1,6,19,953.8,190.8,0.0,102.7,51.4,1144.5,0.0,1144.5,9.79672925,97.9672925
1,6,20,918.8,183.8,0.0,97.6,48.8,1102.5,0.0,1102.5,8.964519375,89.64519375
1,6,21,868.0,173.6,0.0,92.3,46.2,1041.6,0.0,1041.6,8.0136364,80.136364
1,6,22,899.5,179.9,0.0,91.0,45.5,1079.4,0.0,1079.4,8.1816721,81.816721
1,6,23,889.0,177.8,0.0,84.9,42.5,1066.8,0.0,1066.8,7.5509882,75.509882
1,6,24,847.0,169.4,0.0,68.1,34.1,1016.4,0.0,1016.4,5.768917,57.68917
1,7,1,712.3,142.5,0.0,68.7,34.3,854.7,0.0,854.7,4.8920179,48.920179
1,7,2,724.5,144.9,0.0,66.4,33.2,869.4,0.0,869.4,4.8118392,48.118392
1,7,3,696.5,139.3,0.0,54.6,27.3,835.8,0.0,835.8,3.8048402,38.048402
1,7,4,763.0,152.6,0.0,52.8,26.4,915.6,0.0,915.6,4.0287163,40.287163
1,7,5,903.0,180.6,0.0,47.4,23.7,1083.6,0.0,1083.6,4.2761565,42.761565
1,7,6,1240.8,248.2,0.0,52.1,26.0,1488.9,0.0,1488.9,6.459220425,64.59220425
1,7,7,1562.8,312.6,0.0,63.8,31.9,1875.3,0.0,1875.3,9.97003245,99.7003245
1,7,8,1470.0,294.0,0.0,76.9,38.5,1764.0,0.0,1764.0,11.307681,113.07681
1,7,9,1536.5,307.3,0.0,78.9,39.5,1843.8,0.0,1843.8,12.1257507,121.257507
1,7,10,1487.5,297.5,11.2,69.7,34.9,1785.0,11.2,1773.8,10.37397375,103.7397375
1,7,11,1552.3,310.5,70.6,61.0,30.5,1862.7,70.6,1792.1,9.469501125,94.69501125
1,7,12,1410.5,282.1,157.8,61.0,30.5,1692.6,157.8,1534.8,8.60672995,86.0672995
1,7,13,906.5,181.3,140.1,50.4,25.2,1087.8,140.1,947.7,4.56431815,45.6431815
1,7,14,918.8,183.8,110.1,62.9,31.4,1102.5,110.1,992.4,5.777835,57.77835
1,7,15,892.5,178.5,93.0,58.3,29.1,1071.0,93.0,978.0,5.20229325,52.0229325
1,7,16,903.0,180.6,35.9,61.4,30.7,1083.6,35.9,1047.7,5.5473096,55.473096
1,7,17,834.8,167.0,15.9,68.8,34.4,1001.7,15.9,985.8,5.7404088,57.404088
1,7,18,803.3,160.7,0.0,71.0,35.5,963.9,0.0,963.9,5.70484215,57.0484215
1,7,19,854.0,170.8,0.0,67.6,33.8,1024.8,0.0,1024.8,5.7711612,57.711612
1,7,20,794.5,158.9,0.0,62.5,31.3,953.4,0.0,953.4,4.9675318,49.675318
1,7,21,859.3,171.9,0.0,44.1,22.0,1031.1,0.0,1031.1,3.78808955,37.8808955
1,7,22,848.8,169.8,0.0,35.9,17.9,1018.5,0.0,1018.5,3.044890625,30.44890625
1,7,23,782.3,156.5,0.0,27.2,13.6,938.7,0.0,938.7,2.124591,21.24591
1,7,24,689.5,137.9,0.0,8.0,4.0,827.4,0.0,827.4,0.550221,5.50221
1,8,1,714.0,142.8,0.0,6.2,3.1,856.8,0.0,856.8,0.4393242,4.393242
1,8,2,700.0,140.0,0.0,6.2,3.1,840.0,0.0,840.0,0.43365,4.3365
1,8,3,658.0,131.6,0.0,2.2,1.1,789.6,0.0,789.6,0.1446284,1.446284
1,8,4,680.8,136.2,0.0,-1.0,0.5,816.9,0.0,816.9,0.069096125,-0.69096125
1,8,5,686.0,137.2,0.0,2.9,1.4,823.2,0.0,823.2,0.1964018,1.964018
1,8,6,668.5,133.7,0.0,5.7,2.8,802.2,0.0,802.2,0.37950745,3.7950745
1,8,7,677.3,135.5,0.0,9.5,4.8,812.7,0.0,812.7,0.64379385,6.4379385
1,8,8,603.8,120.8,0.0,35.0,17.5,724.5,0.0,724.5,2.113125,21.13125
1,8,9,659.8,132.0,0.0,57.8,28.9,791.7,0.0,791.7,3.813289025,38.13289025
1,8,10,696.5,139.3,26.5,65.6,32.8,835.8,26.5,809.3,4.5722439,45.722439
1,8,11,635.3,127.1,114.8,72.7,36.4,762.3,114.8,647.5,4.618839225,46.18839225
1,8,12,574.0,114.8,178.9,71.2,35.6,688.8,178.9,509.9,4.0859042,40.859042
1,8,13,610.8,122.2,104.2,69.3,34.7,732.9,104.2,628.7,4.2324975,42.324975
1,8,14,568.8,113.8,65.9,73.0,36.5,682.5,65.9,616.6,4.152045625,41.52045625
1,8,15,726.3,145.3,49.4,70.0,35.0,871.5,49.4,822.1,5.08375,50.8375
1,8,16,619.5,123.9,24.1,70.6,35.3,743.4,24.1,719.3,4.37509485,43.7509485
1,8,17,596.8,119.4,8.2,81.2,40.6,716.1,8.2,707.9,4.84561,48.4561
1,8,18,600.3,120.1,0.0,85.8,42.9,720.3,0.0,720.3,5.149244625,51.49244625
1,8,19,700.0,140.0,0.0,76.5,38.3,840.0,0.0,840.0,5.35668,53.5668
1,8,20,642.3,128.5,0.0,73.0,36.5,770.7,0.0,770.7,4.685920225,46.85920225
1,8,21,652.8,130.6,0.0,69.0,34.5,783.3,0.0,783.3,4.5052805,45.052805
1,8,22,619.5,123.9,0.0,69.5,34.8,743.4,0.0,743.4,4.3078791,43.078791
1,8,23,677.3,135.5,0.0,56.9,28.5,812.7,0.0,812.7,3.853755675,38.53755675
1,8,24,666.8,133.4,0.0,52.6,26.3,800.1,0.0,800.1,3.506504925,35.06504925
1,9,1,630.0,126.0,0.0,45.1,22.5,756.0,0.0,756.0,2.839158,28.39158
1,9,2,617.8,123.6,0.0,42.2,21.1,741.3,0.0,741.3,2.6066579,26.066579
1,9,3,665.0,133.0,0.0,27.6,13.8,798.0,0.0,798.0,1.8345355,18.345355
1,9,4,630.0,126.0,0.0,21.0,10.5,756.0,0.0,756.0,1.323,13.23
1,9,5,626.5,125.3,0.0,30.8,15.4,751.8,0.0,751.8,1.92918145,19.2918145
1,9,6,649.3,129.9,0.0,60.4,30.2,779.1,0.0,779.1,3.92393715,39.2393715
1,9,7,666.8,133.4,0.0,112.0,56.0,800.1,0.0,800.1,7.4676,74.676
1,9,8,568.8,113.8,0.0,126.0,63.0,682.5,0.0,682.5,7.16625,71.6625
1,9,9,638.8,127.8,0.0,124.0,62.0,766.5,0.0,766.5,7.922607875,79.22607875
1,9,10,654.5,130.9,35.3,111.5,55.7,785.4,35.3,750.1,7.2946643,72.946643
1,9,11,633.5,126.7,118.3,112.5,56.3,760.2,118.3,641.9,7.1297891,71.297891
1,9,12,596.8,119.4,244.3,97.7,48.8,716.1,244.3,471.8,5.830187825,58.30187825
1,9,13,607.3,121.5,278.4,94.5,47.3,728.7,278.4,450.3,5.7385125,57.385125
1,9,14,533.8,106.8,261.9,96.0,48.0,640.5,261.9,378.6,5.12239875,51.2239875
1,9,15,721.0,144.2,224.9,104.4,52.2,865.2,224.9,640.3,7.5281052,75.281052
1,9,16,617.8,123.6,74.8,112.9,56.4,741.3,74.8,666.5,6.97328555,69.7328555
1,9,17,581.0,116.2,13.5,121.9,60.9,697.2,13.5,683.7,7.0810537,70.810537
1,9,18,614.3,122.9,0.0,127.5,63.8,737.1,0.0,737.1,7.83328455,78.3328455
1,9,19,696.5,139.3,0.0,119.7,59.9,835.8,0.0,835.8,8.337105,83.37105
1,9,20,609.0,121.8,0.0,112.6,56.3,730.8,0.0,730.8,6.8574618,68.574618
1,9,21,635.3,127.1,0.0,97.3,48.7,762.3,0.0,762.3,6.181427175,61.81427175
1,9,22,652.8,130.6,0.0,92.4,46.2,783.3,0.0,783.3,6.03141,60.3141
1,9,23,661.5,132.3,0.0,75.8,37.9,793.8,0.0,793.8,5.01529455,50.1529455
1,9,24,675.5,135.1,0.0,74.2,37.1,810.6,0.0,810.6,5.01221,50.1221
1,10,1,623.0,124.6,0.0,67.7,33.9,747.6,0.0,747.6,4.2188314,42.188314
1,10,2,619.5,123.9,0.0,66.7,33.3,743.4,0.0,743.4,4.1292153,41.292153
1,10,3,652.8,130.6,0.0,63.2,31.6,783.3,0.0,783.3,4.1251189,41.251189
1,10,4,605.5,121.1,0.0,66.9,33.5,726.6,0.0,726.6,4.052006,40.52006
1,10,5,712.3,142.5,0.0,76.0,38.0,854.7,0.0,854.7,5.4145245,54.145245
1,10,6,882.0,176.4,0.0,96.8,48.4,1058.4,0.0,1058.4,8.541729,85.41729
1,10,7,1041.3,208.3,0.0,109.2,54.6,1249.5,0.0,1249.5,11.37045,113.7045
1,10,8,1109.5,221.9,0.0,131.4,65.7,1331.4,0.0,1331.4,14.5839337,145.839337
1,10,9,1043.0,208.6,0.0,129.4,64.7,1251.6,0.0,1251.6,13.4937082,134.937082
1,10,10,1071.0,214.2,24.1,111.3,55.6,1285.2,24.1,1261.1,11.9149821,119.149821
1,10,11,1037.8,207.6,129.5,103.3,51.7,1245.3,129.5,1115.8,10.722033,107.22033
1,10,12,953.8,190.8,240.2,99.4,49.7,1144.5,240.2,904.3,9.4776045,94.776045
1,10,13,859.3,171.9,283.7,99.7,49.9,1031.1,283.7,747.4,8.5674099,85.674099
1,10,14,1051.8,210.4,191.9,102.0,51.0,1262.1,191.9,1070.2,10.72385335,107.2385335
1,10,15,852.3,170.5,167.8,102.5,51.3,1022.7,167.8,854.9,8.7386306,87.386306
1,10,16,813.8,162.8,34.1,99.0,49.5,976.5,34.1,942.4,8.057345625,80.57345625
1,10,17,719.3,143.9,20.6,103.5,51.8,863.1,20.6,842.5,7.44639525,74.4639525
1,10,18,862.8,172.6,0.0,101.3,50.7,1035.3,0.0,1035.3,8.74121045,87.4121045
1,10,19,754.3,150.9,0.0,98.7,49.4,905.1,0.0,905.1,7.448143325,74.48143325
1,10,20,733.3,146.7,0.0,87.4,43.7,879.9,0.0,879.9,6.4077251,64.077251
1,10,21,812.0,162.4,0.0,71.3,35.7,974.4,0.0,974.4,5.791996,57.91996
1,10,22,850.5,170.1,0.0,58.4,29.2,1020.6,0.0,1020.6,4.9628376,49.628376
1,10,23,866.3,173.3,0.0,31.2,15.6,1039.5,0.0,1039.5,2.70564525,27.0564525
1,10,24,766.5,153.3,0.0,3.9,2.0,919.8,0.0,919.8,0.3026142,3.026142
1,11,1,665.0,133.0,0.0,0.2,0.1,798.0,0.0,798.0,0.0144305,0.144305
1,11,2,700.0,140.0,0.0,0.2,0.1,840.0,0.0,840.0,0.01323,0.1323
1,11,3,631.8,126.4,0.0,-0.1,0.0,758.1,0.0,758.1,0.0035378,-0.035378
1,11,4,703.5,140.7,0.0,-0.7,0.4,844.2,0.0,844.2,0.0512148,-0.512148
1,11,5,960.8,192.2,0.0,2.0,1.0,1152.9,0.0,1152.9,0.194359725,1.94359725
1,11,6,1272.3,254.5,0.0,42.0,21.0,1526.7,0.0,1526.7,5.344340575,53.44340575
1,11,7,1422.8,284.6,0.0,66.0,33.0,1707.3,0.0,1707.3,9.390576825,93.90576825
1,11,8,1576.8,315.4,0.0,99.4,49.7,1892.1,0.0,1892.1,15.67179128,156.7179128
1,11,9,1723.8,344.8,0.0,102.0,51.0,2068.5,0.0,2068.5,17.5829395,175.829395
1,11,10,1452.5,290.5,7.1,93.3,46.6,1743.0,7.1,1735.9,13.5451435,135.451435
1,11,11,1370.3,274.1,36.5,91.8,45.9,1644.3,36.5,1607.8,12.5767026,125.767026
1,11,12,1282.8,256.6,43.0,83.4,41.7,1539.3,43.0,1496.3,10.6996743,106.996743
1,11,13,1323.0,264.6,51.8,77.1,38.6,1587.6,51.8,1535.8,10.2019176,102.019176
1,11,14,1358.0,271.6,93.0,81.0,40.5,1629.6,93.0,1536.6,10.9946396,109.946396
1,11,15,1340.5,268.1,63.6,82.6,41.3,1608.6,63.6,1545.0,11.0781601,110.781601
1,11,16,1127.0,225.4,40.0,84.6,42.3,1352.4,40.0,1312.4,9.5307009,95.307009
1,11,17,868.0,173.6,7.7,93.7,46.8,1041.6,7.7,1033.9,8.1290804,81.290804
1,11,18,841.8,168.4,0.0,93.7,46.9,1010.1,0.0,1010.1,7.887955075,78.87955075
1,11,19,931.0,186.2,0.0,91.1,45.5,1117.2,0.0,1117.2,8.4779653,84.779653
1,11,20,803.3,160.7,0.0,82.1,41.1,963.9,0.0,963.9,6.598297125,65.98297125
1,11,21,890.8,178.2,0.0,66.4,33.2,1068.9,0.0,1068.9,5.915381675,59.15381675
1,11,22,848.8,169.8,0.0,64.8,32.4,1018.5,0.0,1018.5,5.49565625,54.9565625
1,11,23,913.5,182.7,0.0,48.5,24.3,1096.2,0.0,1096.2,4.4313885,44.313885
1,11,24,812.0,162.4,0.0,20.2,10.1,974.4,0.0,974.4,1.6438128,16.438128
1,12,1,731.5,146.3,0.0,5.9,2.9,877.8,0.0,877.8,0.430122,4.30122
1,12,2,694.8,139.0,0.0,4.7,2.4,833.7,0.0,833.7,0.32778305,3.2778305
1,12,3,749.0,149.8,0.0,0.9,0.5,898.8,0.0,898.8,0.0707805,0.707805
1,12,4,693.0,138.6,0.0,2.6,1.3,831.6,0.0,831.6,0.1804572,1.804572
1,12,5,1011.5,202.3,0.0,18.6,9.3,1213.8,0.0,1213.8,1.87704055,18.7704055
1,12,6,1349.3,269.9,0.0,61.1,30.6,1619.1,0.0,1619.1,8.248100175,82.48100175
